Genotype	Replicate	ID	Chamber	Species	Census	Growth.days	Juvenile	Apterous	Alate	Sum
11	9	11_09	2	M.asc	4	13	NA	NA	NA	NA
11	9	11_09	2	M.asc	5	18	NA	NA	NA	NA
11	10	11_10	1	M.asc	1	3	31	0	5	36
11	10	11_10	1	M.asc	2	6	69	0	4	73
11	10	11_10	1	M.asc	3	9	85	0	4	89
11	10	11_10	1	M.asc	4	12	98	0	12	110
11	10	11_10	1	M.asc	5	16	81	0	35	116
11	11	11_11	2	A.ner	1	3	11	3	2	16
11	11	11_11	2	A.ner	2	6	39	7	2	48
11	11	11_11	2	A.ner	3	9	155	18	3	176
11	11	11_11	2	A.ner	4	12	439	37	9	485
11	11	11_11	2	A.ner	5	16	599	16	54	669
11	12	11_12	1	M.per	1	4	7	5	0	12
11	12	11_12	1	M.per	2	7	25	5	0	30
11	12	11_12	1	M.per	3	10	50	12	0	62
11	12	11_12	1	M.per	4	14	116	18	0	134
11	12	11_12	1	M.per	5	18	139	31	0	170
11	13	11_13	2	M.per	1	5	7	5	0	12
11	13	11_13	2	M.per	2	7	13	6	0	19
11	13	11_13	2	M.per	3	10	31	8	0	39
11	13	11_13	2	M.per	4	13	55	16	0	71
11	13	11_13	2	M.per	5	17	151	18	0	169
11	14	11_14	2	A.asc	1	4	26	5	0	31
11	14	11_14	2	A.asc	2	7	48	10	0	58
11	14	11_14	2	A.asc	3	10	112	11	0	123
11	14	11_14	2	A.asc	4	13	166	38	3	207
11	14	11_14	2	A.asc	5	17	369	22	3	394
11	15	11_15	2	M.per	1	4	9	5	0	14
11	15	11_15	2	M.per	2	7	47	10	0	57
11	15	11_15	2	M.per	3	10	61	10	0	71
11	15	11_15	2	M.per	4	13	211	24	0	235
11	15	11_15	2	M.per	5	17	376	30	1	407
11	16	11_16	2	A.ner	1	4	13	5	0	18
11	16	11_16	2	A.ner	2	6	35	9	0	44
11	16	11_16	2	A.ner	3	9	77	13	0	90
11	16	11_16	2	A.ner	4	12	261	16	4	281
11	16	11_16	2	A.ner	5	16	370	17	18	405
11	17	11_17	1	A.ner	1	3	4	5	0	9
11	17	11_17	1	A.ner	2	6	24	5	0	29
11	17	11_17	1	A.ner	3	9	37	7	0	44
11	17	11_17	1	A.ner	4	13	74	10	1	85
11	17	11_17	1	A.ner	5	17	115	19	3	137
13	1	13_01	2	M.per	1	4	18	5	0	23
13	1	13_01	2	M.per	2	7	49	9	0	58
13	1	13_01	2	M.per	3	10	104	21	0	125
13	1	13_01	2	M.per	4	13	235	17	0	252
13	1	13_01	2	M.per	5	17	273	19	1	293
13	2	13_02	1	A.ner	1	3	10	5	0	15
13	2	13_02	1	A.ner	2	6	23	8	0	31
13	2	13_02	1	A.ner	3	9	41	14	0	55
13	2	13_02	1	A.ner	4	13	158	22	4	184
13	2	13_02	1	A.ner	5	17	394	26	6	426
13	3	13_03	2	M.per	1	4	22	5	0	27
13	3	13_03	2	M.per	2	7	50	9	0	59
