Genotype	Replicate	Chamber	Honeydew.mass	Species	Aphid.start	Aphid.end	Exposure.time	Cumulative.aphids	day1	day2	day3	day4	day5
11	8	2	2.1648	A.asc	18	23	4	84.5	19.25	20.5	21.75	23	NA
11	9	2	0.5959	M.asc	19	11	5	71	17.4	15.8	14.2	12.6	11
11	10	1	28.1765	M.asc	110	116	4	455	111.5	113	114.5	116	NA
11	11	2	14.9766	A.ner	485	669	4	2400	531	577	623	669	NA
11	12	1	13.18	M.per	134	170	4	626	143	152	161	170	NA
11	13	2	1.2857	M.per	71	169	4	529	95.5	120	144.5	169	NA
11	14	2	12.366	A.asc	207	394	4	1295.5	253.75	300.5	347.25	394	NA
11	15	2	2.6261	M.per	235	407	4	1370	278	321	364	407	NA
11	16	2	41.3398	A.ner	281	405	4	1434	312	343	374	405	NA
11	17	1	23.3252	A.ner	85	137	4	470	98	111	124	137	NA
13	1	2	16.8809	M.per	252	293	4	1110.5	262.25	272.5	282.75	293	NA
13	2	1	28.009	A.ner	184	426	4	1341	244.5	305	365.5	426	NA
13	3	2	4.8772	M.per	234	406	4	1366	277	320	363	406	NA
13	4	1	15.4591	M.per	142	95	4	450.5	130.25	118.5	106.75	95	NA
13	5	1	0.1406	M.asc	21	9	4	54	18	15	12	9	NA
13	6	1	2.9261	A.asc	50	101	4	327.5	62.75	75.5	88.25	101	NA
13	7	2	4.0628	A.asc	123	312	4	964.5	170.25	217.5	264.75	312	NA
13	8	1	46.7079	A.ner	266	433	4	1481.5	307.75	349.5	391.25	433	NA
13	9	1	35.1902	A.asc	218	313	4	1109.5	241.75	265.5	289.25	313	NA
13	10	2	0.6286	M.asc	6	2	4	14	5	4	3	2	NA
13	11	2	0.9001	M.asc	47	57	4	213	49.5	52	54.5	57	NA
13	12	1	5.7581	M.asc	92	166	4	553	110.5	129	147.5	166	NA
13	13	2	24.7397	A.ner	328	795	4	2479.5	444.75	561.5	678.25	795	NA
13	14	1	14.5258	M.per	191	340	4	1136.5	228.25	265.5	302.75	340	NA
13	15	2	NA	A.ner	636	540	1	540	540	NA	NA	NA	NA
13	16	1	19.6863	A.asc	213	244	4	929.5	220.75	228.5	236.25	244	NA
15	1	2	3.3483	M.per	349	387	4	1491	358.5	368	377.5	387	NA
15	2	2	1.163	A.asc	40	45	4	172.5	41.25	42.5	43.75	45	NA
15	3	2	25.2149	M.asc	60	124	4	400	76	92	108	124	NA
15	4	2	8.5036	A.ner	920	528	4	2700	822	724	626	528	NA
15	5	2	15.7268	M.asc	34	81	4	253.5	45.75	57.5	69.25	81	NA
15	6	1	7.057	M.asc	86	57	4	271.5	78.75	71.5	64.25	57	NA
15	9	1	71.1199	A.ner	609	714	4	2698.5	635.25	661.5	687.75	714	NA
15	10	2	15.6032	A.ner	256	928	4	2704	424	592	760	928	NA
15	11	1	9.3826	A.asc	177	304	4	1025.5	208.75	240.5	272.25	304	NA
15	12	1	3.0522	M.per	111	129	4	489	115.5	120	124.5	129	NA
15	13	2	25.0513	M.per	141	259	4	859	170.5	200	229.5	259	NA
15	14	1	28.9218	A.asc	217	214	4	860.5	216.25	215.5	214.75	214	NA
15	15	2	14.0257	A.asc	192	443	4	1395.5	254.75	317.5	380.25	443	NA
15	16	1	32.5371	M.asc	217	352	4	1205.5	250.75	284.5	318.25	352	NA
15	17	1	44.1777	A.ner	279	551	4	1796	347	415	483	551	NA
15	18	1	4.132	M.per	230	238	4	940	232	234	236	238	NA
17	1	1	5.9108	A.asc	94	145	4	503.5	106.75	119.5	132.25	145	NA
17	2	2	8.1194	M.per	55	118	4	377.5	70.75	86.5	102.25	118	NA
17	3	2	31.1624	A.ner	360	419	4	1587.5	374.75	389.5	404.25	419	NA
17	4	1	0.4268	M.asc	5	4	4	17.5	4.75	4.5	4.25	4	NA
