no,block,origin,pop,inoc,G.height1,G.height2,G.height3,G.leaves3,BA.snailsize,BA.none,BA.LA_before,BA.LA,LMA.leaflet_g,LMA.leaflet_cm2,H.n_nodules,H.nR,H.nW,H.above_g,H.roots_g,H.nodules_g
269,14,US,14,int,8,8,17,7,1.8,,6.445,2.084,0.0183,7.986,50,5,0,0.5754,0.305,0.0533
270,14,US,8,auto,7,6,10,5,1.9,x,4.002,0,0.0085,4.706,13,5,0,0.2691,0.1867,0.0411
271,14,US,14,auto,7.5,7,8,5,1.8,,1.778,1.778,0.0038,1.922,5,5,0,0.0929,0.026,0.0087
272,14,US,9,auto,10,10,6,2,1.7,,1.11,1.098,0.0006,0.643,0,,,0.035,0.0152,0
273,14,FI,42,int,9.5,16,33,6,1.7,,8.639,1.175,0.0267,9.789,45,5,0,0.9395,0.2874,0.0758
274,14,US,4,int,8.5,13,23,6,1.7,,4.758,4.758,0.0097,4.245,8,5,0,0.803,0.3108,0.0506
275,14,US,5,int,7,10,12,7,1.7,,3.981,3.433,0.0114,4.927,3,3,0,0.4185,0.519,0.0588
276,14,FI,7,int,9,11,22,6,1.7,,5.309,0.313,0.0177,5.601,23,5,0,0.6186,0.2659,0.0852
277,14,FI,27,int,8,11,27,5,1.9,x,10.205,0,0.0294,11.398,40,5,0,1.0822,0.393,0.1216
278,14,US,9,int,5,8,12,7,1.8,,5.5,5.5,0.0137,8.181,2,2,0,0.3724,0.2192,0.071
279,14,FI,11,int,10,14,25,6,1.9,,9.199,1.254,0.0315,9.473,36,5,0,1.0604,0.5199,0.1604
280,14,US,8,int,7,8,12,7,1.8,,4.443,4.308,0.014,5.529,11,4,1,0.3525,0.6696,0.0644
281,15,US,5,int,9,8,11,5,1.8,,4.253,4.253,0.0085,4.196,14,5,0,0.2559,0.3556,0.0564
282,15,FI,7,auto,7.5,14,26,5,1.8,,7.002,4.104,0.0145,6.179,22,5,0,0.7101,0.1639,0.0597
283,15,US,14,auto,6.5,9,8,3,1.7,x,1.069,0,0.002,0.924,3,2,1,0.0447,0.0162,0.0063
284,15,US,8,auto,7,8,15,7,1.9,,5.666,5.666,0.0117,7.105,10,4,1,0.3679,0.175,0.0501
285,15,US,9,auto,7,8,16,6,1.9,,7.576,6.965,0.0184,9.44,7,3,2,0.3819,0.193,0.0446
286,15,FI,27,auto,8,9,16,5,1.8,,4.521,1.817,0.0118,5.499,10,5,0,0.2919,0.084,0.0443
287,15,US,14,int,8,10,20,7,1.8,x,7.153,0,0.0193,7.972,15,5,0,0.7535,0.291,0.0823
288,15,FI,27,int,9,13,27,6,1.9,,8.608,1.327,0.0321,11.753,32,5,0,1.0761,0.3542,0.1041
289,15,FI,42,int,11,15,34,6,1.8,,7.91,6.208,0.0252,9.388,14,5,0,1.3574,0.4459,0.1643
290,15,US,8,int,7,10,19,9,1.8,x,5.688,0,0.0149,7.564,28,5,0,0.8204,0.4215,0.1202
291,15,FI,11,int,6.5,10,17,5,1.7,x,6.445,0,0.0203,7.205,15,5,0,0.5664,0.2054,0.0733
292,15,FI,32,int,10,12,23,6,1.8,,9.374,1.833,0.0196,8.388,35,5,0,0.7608,0.4423,0.0962
293,15,US,4,int,8.5,13,26,6,1.8,,6.361,6.361,0.0235,9.118,13,5,0,0.9203,0.486,0.0479
294,15,US,4,auto,8,9,11,3,1.7,,2.97,2.842,0.0034,1.37,3,3,0,0.099,0.0303,0.0102
295,15,FI,42,auto,8,11,21,5,1.8,,3.282,1.744,0.0075,3.094,10,5,0,0.3005,0.0682,0.0494
296,15,FI,32,auto,6,7,11,4,1.9,,2.29,1.313,0.0055,2.808,3,3,0,0.1162,0.03,0.0147
297,15,US,5,auto,10.5,10,13,7,1.7,,3.785,3.785,0.0092,4.666,12,5,0,0.3646,0.1854,0.0373
298,15,FI,7,int,10.5,15,19,4,1.7,,4.775,0.257,0.0137,5.439,15,5,0,0.4637,0.2279,0.0802
299,15,US,9,int,8,9,16,9,1.7,,5.315,4.669,0.0153,6.11,14,5,0,0.7466,0.4068,0.0742
300,15,FI,11,auto,7,8,15,4,1.9,,2.46,2.447,0.0076,2.667,10,5,0,0.1548,0.0852,0.0187
